date,vendor,product_type,product_name,pay_method,value,direction
2025-10-23,emily_eclair,eat_out,coffee,card,1490,out
2025-10-24,pajti,eat_out,coffee,card,5900,out
2025-10-26,mav,travel,train_ticket,card,4179,out
2025-10-26,otp,fee,transfer,card,750,out
2025-10-27,nts,smoking,lighter,card,620,out
2025-10-27,melodin,eat_out,food,nice,2281,out
2025-10-27,lidl,groceries,food,card,4743,out
2025-10-28,melodin,eat_out,food,nice,3530,out
2025-10-28,mol_bubi,fee,monthly_pass,card,1500,out
2025-10-28,nts,groceries,drink,card,369,out
2025-10-28,spar,groceries,drink,card,1428,out
2025-10-28,spotify,fee,monthly_pass,card,2190,out
2025-10-29,melodin,eat_out,food,nice,2413,out
2025-10-29,intersport,clothing,shoes,cash,57275,out
2025-10-29,spar,groceries,food,cash,5858,out
2025-10-29,universe,gift,contribution,cash,1090,out
2025-10-30,bamba_marha_burger_bar,eat_out,food,nice,5031,out
2025-10-30,nts,smoking,tobacco,card,2500,out
2025-10-31,intersport,clothing,shoes,cash,2915,out
2025-10-31,coffee_roy_allee,eat_out,coffee,card,1450,out
2025-10-31,mav,travel,train_ticket,card,3856,out
2025-10-31,nikolett.com,fun_item,book,card,9990,out
2025-10-31,mcdonalds,eat_out,food,card,2850,out
2025-10-31,nts,groceries,drink,card,440,out
2025-11-01,otp,fee,account,card,449,out
2025-11-01,gellert_pekseg,eat_out,bakery,card,650,out
2025-11-01,tejmadar_etele,eat_out,coffee,cash,950,out
2025-11-01,tejmadar_etele,gift,tip,cash,50,out
2025-11-01,ven_bakter_sorozo,eat_out,coffee,cash,1300,out
2025-11-01,ven_bakter_sorozo,gift,tip,cash,200,out
2025-11-01,pavilon_sor,fun_item,stone_heart,card,990,out
2025-11-02,apple,fee,icloud,card,399,out
2025-11-03,met,monthly_income,salary,card,544516,in
2025-11-03,met,monthly_income,fringe_benefit,nice,38793,in
2025-11-03,universe,loan,appreciation,card,58331,out
2025-11-03,mav,travel,train_ticket,card,4179,out
2025-11-04,melodin,eat_out,food,nice,2940,out
2025-11-04,ht_market,groceries,drink,card,940,out
2025-11-04,kfc,eat_out,food,nice,1980,out
2025-11-05,melodin,eat_out,food,nice,1363,out
2025-11-05,lidl,groceries,food,card,16816,out
2025-11-06,melodin,eat_out,food,nice,2536,out
2025-11-06,spar,groceries,food,card,2929,out
2025-11-07,aldi,groceries,snack,card,898,out
2025-11-08,dam_specialty_kavezo,eat_out,coffee,card,1450,out
2025-11-08,jysk,house_care,towel,card,5500,out
2025-11-08,spar,groceries,food,card,7804,out
2025-11-09,spar,groceries,food,card,639,out
2025-11-10,melodin,eat_out,food,nice,2002,out
2025-11-10,landlord,fee,flat_rent,cash,207920,out
2025-11-11,lipoti_pekseg,eat_out,bakery,card,490,out
2025-11-11,indigo_express,eat_out,food,nice,3990,out
2025-11-11,dm,groceries,food,card,2199,out
2025-11-11,dm,groceries,snack,card,839,out
2025-11-11,dm,house_care,detergent,card,1329,out
2025-11-11,spar,groceries,drink,card,1129,out
2025-11-11,spar,groceries,food,card,299,out
2025-11-12,melodin,eat_out,food,nice,2897,out
2025-11-12,lidl,groceries,food,card,1665,out
2025-11-13,aran_bakery,groceries,food,card,750,out
2025-11-13,spar,groceries,food,card,2688,out
2025-11-13,spar,house_care,toilet_paper,card,4228,out
2025-11-13,spar,groceries,snack,card,599,out
2025-11-14,nts,smoking,tobacco,card,2500,out
2025-11-14,nts,smoking,paper,card,149,out
2025-11-14,addicted2caffeine,eat_out,coffee,card,1490,out
2025-11-14,bkk,travel,monthly_pass,card,9450,out
2025-11-14,fini_z_smash_burger,eat_out,food,card,2444,out
2025-11-14,manna_abc,groceries,alcohol,card,2871,out
2025-11-15,gosip_bar,eat_out,alcohol,card,1100,out
2025-11-15,gosip_bar,eat_out,alcohol,cash,5380,out
2025-11-15,gosip_bar,gift,tip,cash,620,out
2025-11-15,gosip_bar,eat_out,alcohol,cash,2270,out
2025-11-15,gosip_bar,gift,tip,cash,330,out
2025-11-15,friend,gift,alcohol,cash,1000,out
2025-11-15,manna_abc,groceries,snack,card,4442,out
2025-11-15,kelet_kavezo_es_galeria,eat_out,coffee,card,1400,out
2025-11-15,lidl,groceries,food,card,999,out
2025-11-15,amore_di_napoli,eat_out,food,card,11807,out
2025-11-15,amore_di_napoli,gift,tip,card,1200,out
2025-11-16,lidl,groceries,food,card,5487,out
2025-11-16,aran_bakery,groceries,food,card,750,out
2025-11-16,dm,body_care,shaving_cream,card,905,out
2025-11-16,dm,body_care,vitamins,card,2399,out
2025-11-16,humanic,clothing,leather_care,card,5980,out
2025-11-16,jysk,fun_item,light_bulbs,card,1695,out
2025-11-16,jysk,house_care,felt_pads,card,1000,out
2025-11-16,pirex,fun_item,booklet,card,2190,out
2025-11-16,pirex,fun_item,pen,card,1090,out
2025-11-16,pirex,fun_item,sticky_pads,card,2290,out
2025-11-16,pirex,fun_item,colored_paper,card,1070,out
2025-11-16,pirex,fun_item,scissors,card,445,out
2025-11-16,spar,groceries,drink,card,1099,out
2025-11-16,coffee_roy_allee,eat_out,coffee,card,1450,out
2025-11-16,libri,fun_item,book,card,14668,out
2025-11-16,libri,fun_item,tarot_cards,card,6993,out
2025-11-16,nts,groceries,drink,card,610,out
2025-11-16,nts,smoking,paper,card,120,out
2025-11-17,melodin,eat_out,food,nice,2725,out
2025-11-17,spar,groceries,snack,card,679,out
2025-11-18,lipoti_pekseg,eat_out,bakery,card,490,out
2025-11-18,dam_specialty_kavezo,eat_out,coffee,card,990,out
2025-11-18,melodin,eat_out,food,nice,3614,out
2025-11-18,spar,groceries,snack,card,2251,out
2025-11-19,melodin,eat_out,food,nice,2539,out
2025-11-20,lipoti_pekseg,eat_out,bakery,card,990,out
2025-11-20,lidl,groceries,snack,card,1268,out
2025-11-21,addicted2caffeine,eat_out,coffee,card,1050,out
2025-11-22,spar,groceries,food,card,5991,out
2025-11-22,spar,house_care,soap,card,1218,out
2025-11-22,lidl,groceries,alcohol,card,1349,out
2025-11-22,lidl,groceries,cake,card,769,out
2025-11-22,lidl,groceries,food,card,5002,out
2025-11-23,spar,groceries,food,card,805,out
2025-11-23,academia_herba,course,medicinal_plants,card,5997,out
2025-11-24,melodin,eat_out,food,nice,2614,out
2025-11-25,spar,groceries,food,card,5286,out
2025-11-26,lidl,groceries,food,card,3423,out
